t,year,earth_arrivals_tons,rocket_arrivals_tons,elevator_arrivals_tons,rocket_trips,isru_production_tons,total_supply_tons,isru_share,cumulative_city_tons,capacity_tpy
57,2054.75,61634.32364307139,16884.323643071388,44749.99999999999,93.0,246537.29457228552,308171.6182153569,0.8,17165287.41964076,2958447.5348674264
58,2054.8333333333335,61680.44694149132,16930.446941491315,44750.0,93.0,271210.2420705224,332890.6890120137,0.8147126099424628,17473689.654348217,3254522.9048462687
59,2054.9166666666665,61726.3602222257,16976.360222225707,44749.99999999999,93.0,222416.98658434564,284143.34680657135,0.7827633097309665,17782321.455459345,2669003.839012148
60,2055.0,61772.06263650852,17022.06263650851,44750.00000000001,93.0,247088.25054603402,308860.31318254257,0.7999999999999999,18091181.76864189,2965059.0065524084
61,2055.0833333333335,61817.5533643403,17067.553364340307,44749.99999999999,93.0,247270.21345736115,309087.7668217014,0.8,18400269.53546359,2967242.561488334
62,2055.1666666666665,61862.831614370094,17112.831614370094,44749.99999999999,93.0,247451.32645748035,309314.1580718504,0.8,18709583.69353544,2969415.9174897643
63,2055.25,62092.39013585413,17342.390135854133,44750.0,94.0,248369.56054341653,310461.95067927067,0.8,19020045.644214712,2980434.7265209984
64,2055.3333333333335,62137.72343937475,17387.723439374746,44750.0,94.0,248550.89375749897,310688.6171968737,0.8,19330734.261411585,2982610.7250899877
65,2055.4166666666665,62182.839753244625,17432.839753244618,44750.00000000001,94.0,248731.35901297844,310914.19876622304,0.8,19641648.46017781,2984776.3081557415
66,2055.5,62227.73839209817,17477.73839209817,44750.0,94.0,248910.95356839267,311138.69196049083,0.8,19952787.1521383,2986931.442820712
67,2055.5833333333335,62272.41869882829,17522.41869882828,44750.00000000001,94.0,249089.6747953131,311362.09349414136,0.8,20264149.245632444,2989076.0975437574
68,2055.6666666666665,62503.761747029625,17753.761747029625,44750.0,95.0,250015.04698811847,312518.8087351481,0.7999999999999999,20576668.05436759,3000180.5638574217
69,2055.75,62548.474187704895,17798.474187704887,44750.0,95.0,250735.8226058754,313284.2967935803,0.8003459642635156,20889410.425306115,3008829.8712705052
70,2055.8333333333335,62592.96415101833,17842.96415101833,44750.0,95.0,249829.9307490174,312422.8949000357,0.799653081855458,21202375.246061206,2997959.168988209
71,2055.9166666666665,62637.23108546002,17887.231085460015,44750.00000000001,95.0,274887.8189898382,337525.0500752982,0.8144219782458033,21515561.401488505,3298653.8278780584
72,2056.0,62681.274467226656,17931.274467226656,44750.0,95.0,226386.20322090847,289067.4776881351,0.7831604061151034,21828967.77382464,2716634.438650902
73,2056.0833333333335,62914.3053137176,18164.305313717603,44750.0,96.0,251657.22125487035,314571.526568588,0.7999999999999999,22143539.300393227,3019886.6550584445
74,2056.1666666666665,62958.35902139339,18208.359021393393,44749.99999999999,96.0,251833.43608557354,314791.7951069669,0.8,22458331.095500194,3022001.2330268826
75,2056.25,63002.18540132436,18252.185401324357,44750.0,96.0,252008.74160529743,315010.9270066218,0.8,22773342.022506814,3024104.899263569
76,2056.3333333333335,63045.78403424111,18295.784034241115,44749.99999999999,96.0,252183.13613696443,315228.92017120554,0.8,23088570.94267802,3026197.633643573
77,2056.4166666666665,63089.15452787612,18339.154527876115,44750.00000000001,96.0,252356.61811150447,315445.7726393806,0.8,23404016.715317402,3028279.4173380537
78,2056.5,63132.29651675088,18382.29651675088,44750.0,96.0,252529.18606700352,315661.4825837544,0.8,23719678.197901156,3030350.2328040423
79,2056.5833333333335,63367.13892926868,18617.138929268684,44749.99999999999,97.0,253468.5557170747,316835.69464634336,0.8,24036513.892547496,3041622.6686048964
80,2056.6666666666665,63410.267543130016,18660.267543130016,44749.99999999999,97.0,253641.07017252003,317051.33771565004,0.8,24353565.230263148,3043692.8420702405
81,2056.75,63453.16432429588,18703.164324295885,44750.0,97.0,253812.65729718353,317265.8216214794,0.8,24670831.05188463,3045751.8875662023
82,2056.8333333333335,63495.8290095049,18745.8290095049,44750.0,97.0,253983.31603801955,317479.1450475245,0.7999999999999999,24988310.196932152,3047799.792456235
83,2056.9166666666665,63538.2613614201,18788.261361420093,44750.00000000001,97.0,254153.0454456804,317691.3068071005,0.8,25306001.503739253,3049836.5453481646
84,2057.0,63580.46116838917,18830.461168389167,44750.0,97.0,254321.84467355665,317902.3058419458,0.8,25623903.809581198,3051862.13608268
85,2057.0833333333335,63816.989360118634,19066.98936011863,44750.00000000001,98.0,279852.5825541329,343669.57191425154,0.8143071293607527,25942988.75638179,3358230.9906495954
86,2057.1666666666665,63859.153793064404,19109.153793064404,44750.0,98.0,230851.9900585992,294711.1438516636,0.7833161211399372,26262284.525347114,2770223.880703191
87,2057.25,63901.08279539863,19151.082795398626,44750.0,98.0,255604.33118159446,319505.41397699306,0.8,26581789.939324107,3067251.974179134
88,2057.3333333333335,63942.776254581215,19192.77625458122,44749.99999999999,98.0,255771.10501832483,319713.88127290603,0.8,26901503.820597015,3069253.260219898
89,2057.4166666666665,63984.23408275437,19234.234082754363,44750.0,98.0,255936.93633101744,319921.1704137718,0.7999999999999999,27221424.991010785,3071243.2359722094
90,2057.5,64025.45621648048,19275.456216480477,44750.0,98.0,256101.8248659219,320127.2810824024,0.7999999999999999,27541552.272093188,3073221.898391063
91,2057.5833333333335,64263.54917378639,19513.54917378639,44750.0,99.0,257054.1966951455,321317.7458689319,0.8,27862870.01796212,3084650.3603417464
92,2057.6666666666665,64304.71564761999,19554.715647619993,44750.0,99.0,282776.7690620907,347081.4847097107,0.814727323465835,28184393.59620022,3393321.228745089
93,2057.75,64345.64397502261,19595.643975022613,44750.0,99.0,231824.66942847962,296170.3134035022,0.7827410747701842,28506121.816075332,2781896.0331417555
94,2057.8333333333335,64386.33418787579,19636.334187875793,44750.0,99.0,257545.33675150317,321931.67093937896,0.8,28828053.48701471,3090544.041018038
95,2057.9166666666665,64426.78634136358,19676.786341363575,44750.0,99.0,257707.1453654543,322133.9317068179,0.7999999999999999,29150187.41872153,3092485.7443854515
96,2058.0,64467.00051369291,19717.000513692907,44750.00000000001,99.0,257868.00205477164,322335.00256846455,0.8,29472522.421289995,3094416.0246572597
97,2058.0833333333335,64706.54222809107,19956.542228091068,44750.0,100.0,258826.16891236423,323532.7111404553,0.7999999999999999,29796055.13243045,3105914.026948371
98,2058.1666666666665,64746.682162745186,19996.682162745186,44750.0,100.0,258986.7286509807,323733.4108137259,0.7999999999999999,30119788.543244172,3107840.7438117685
99,2058.25,64786.58208604943,20036.58208604943,44750.0,100.0,259146.3283441977,323932.91043024714,0.8,30443721.45367442,3109755.9401303725
100,2058.3333333333335,64826.24216715078,20076.242167150776,44750.0,100.0,259304.9686686031,324131.2108357539,0.8,30767852.664510176,3111659.6240232373
101,2058.4166666666665,64865.6625970083,20115.662597008297,44750.0,100.0,259462.65038803316,324328.31298504147,0.7999999999999999,31092180.977495216,3113551.804656398
102,2058.5,64904.84358810072,20154.843588100714,44750.0,100.0,259619.3743524028,324524.2179405035,0.8,31416705.19543572,3115432.492228834
103,2058.5833333333335,65145.72322787199,20395.723227871993,44750.0,101.0,260582.89291148796,325728.61613935995,0.8,31742433.81157508,3126994.7149378555
104,2058.6666666666665,65184.813091827295,20434.81309182729,44750.0,101.0,260739.25236730912,325924.0654591364,0.8,32068357.877034217,3128871.0284077097
