t,year,earth_arrivals_tons,rocket_arrivals_tons,elevator_arrivals_tons,rocket_trips,isru_production_tons,total_supply_tons,isru_share,cumulative_city_tons,capacity_tpy,N_t,C_dom,C_ag,M_dot_base,C_ind,loss_bio,loss_ind,loss_leak,net_loss,W_preempt,W_reactive,q_E_preempt,q_E_reactive
22,2051.8333333333335,58593.53518772862,13843.535187728628,44749.99999999999,85.0,234374.1407509145,292967.6759386431,0.8,6638242.0566820055,2812489.689010974,0,0.0,0.0,8.053829783127489,0.8053829783127489,0.0,0.04026914891563748,0.0,0.04026914891563748,0.0,0.0,0.0,0.0
23,2051.9166666666665,58805.14391456943,14055.143914569424,44750.00000000001,86.0,235220.57565827767,294025.7195728471,0.7999999999999999,6932267.776254852,2822646.907899332,0,0.0,0.0,35.26812114013398,3.526812114013398,0.0,0.17634060570067006,0.0,0.17634060570067006,0.0,0.0,0.0,0.0
24,2052.0,58853.73788805216,14103.737888052148,44750.00000000001,86.0,235414.95155220857,294268.68944026076,0.7999999999999999,7226536.465695113,2824979.418626503,0,0.0,0.0,8.098995580454357,0.8098995580454358,0.0,0.04049497790227183,0.0,0.04049497790227183,0.0,0.0,0.0,0.0
25,2052.0833333333335,58902.18049755675,14152.180497556756,44750.0,86.0,235608.721990227,294510.90248778375,0.8,7521047.368182896,2827304.663882724,0,0.0,0.0,8.073768250766443,0.8073768250766444,0.0,0.040368841253832256,0.0,0.040368841253832256,0.0,0.0,0.0,0.0
26,2052.1666666666665,58950.47003845963,14200.47003845964,44750.0,86.0,235801.88015383857,294752.3501922982,0.8,7815799.718375194,2829622.5618460625,0,0.0,0.0,8.04825681714768,0.804825681714768,0.0,0.04024128408573843,0.0,0.04024128408573843,0.0,0.0,0.0,0.0
27,2052.25,58998.60483215119,14248.604832151188,44750.0,86.0,259402.12433326052,318400.7291654117,0.8147032986174446,8110792.74253595,3112825.4919991265,0,0.0,0.0,788.2792991037849,78.82792991037849,0.0,3.941396495518928,0.0,3.941396495518928,0.0,0.0,0.0,0.0
28,2052.3333333333335,59212.82256602589,14462.8225660259,44749.99999999999,87.0,213443.58525944775,272656.4078254737,0.7828298882162057,8406856.85536608,2561323.0231133737,0,0.0,0.0,-1524.8107113312678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2052.4166666666665,59261.19898506283,14511.198985062829,44750.00000000001,87.0,237044.79594025132,296305.99492531415,0.8,8703162.850291394,2844537.551283016,0,0.0,0.0,788.319569994682,78.8319569994682,0.0,3.9415978499734137,0.0,3.9415978499734137,0.0,0.0,0.0,0.0
30,2052.5,59309.41392250666,14559.413922506656,44750.0,87.0,237237.65569002664,296547.06961253326,0.8,8999709.919903927,2846851.8682803195,0,0.0,0.0,8.035822907303615,0.8035822907303616,0.0,0.04017911453651812,0.0,0.04017911453651812,0.0,0.0,0.0,0.0
31,2052.5833333333335,59357.46578694385,14607.465786943854,44750.0,87.0,260981.44286921143,320338.90865615534,0.8147041642991396,9296497.248838646,3131777.3144305376,0,0.0,0.0,793.0613014540693,79.30613014540694,0.0,3.9653065072703506,0.0,3.9653065072703506,0.0,0.0,0.0,0.0
32,2052.6666666666665,59405.353013958986,14655.353013958984,44750.0,87.0,214304.26761873977,273709.62063269876,0.7829621301705091,9593524.013908442,2571651.211424877,0,0.0,0.0,-1554.309600781886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
