t,year,rocket_arrivals_tons,elevator_arrivals_tons,isru_production_tons,cumulative_city_tons,D_E_aggressive,D_M,D_total_aggressive,D_E_conservative,D_M_conservative,D_total_conservative
0,2050.0,12000.000000000002,14916.666666666666,0.0083333333333333,-7.275957614183426e-12,9672916.666666668,0.83333333333333,9672917.500000002,300000.2083333334,0.0,300000.2083333334
1,2050.083333333333,12198.551044364362,14916.666666666666,22596.023057803635,28245.03923892121,19499710.392715715,2259603.139113697,21759313.531829413,1542781.2275542002,0.0,1542781.2275542002
2,2050.1666666666665,12247.002761073947,14916.666666666666,45138.2641515133,84667.86942831284,29364054.19921469,6773429.554265027,36137483.75347972,3350329.567035548,0.0,3350329.567035548
3,2050.25,12295.353039566851,14916.666666666666,63913.553527894815,164559.81133818135,39265869.47154567,13164784.907054508,52430654.37860017,5628468.897888756,0.0,5628468.897888756
4,2050.333333333333,12343.599788230398,14916.666666666666,78216.57578923122,262330.53107472043,49205075.97409089,20986442.48597763,70191518.46006852,8265389.9539919635,0.0,8265389.9539919635
5,2050.4166666666665,12544.725390714168,14916.666666666666,91268.07556642426,376415.62553275074,59300154.81856103,30113250.042620055,89413404.86118108,11233626.644587092,0.0,11233626.644587092
6,2050.5,12593.351888383067,14916.666666666666,103075.75008069942,505260.3131336251,69432919.19872457,40420825.050689995,109853744.24941456,14498270.86048082,0.0,14498270.86048082
7,2050.583333333333,12641.867344157785,14916.666666666666,113761.5512130266,647462.2521499083,79603283.05711351,51796980.17199266,131400263.22910617,18031272.991077095,0.0,18031272.991077095
8,2050.6666666666665,12690.2697205829,14916.666666666666,123435.46421646516,801756.5824204898,89811158.75723192,64140526.59363918,153951685.3508711,21807333.006169964,0.0,21807333.006169964
9,2050.75,12738.557000971405,14916.666666666666,132196.68181608603,967002.4346905974,100056457.09965143,77360194.77524778,177416651.8748992,25803630.643263064,0.0,25803630.643263064
10,2050.833333333333,12942.66288713194,14916.666666666668,140252.3504332237,1142317.872732127,110459937.50384535,91385429.81857015,201845367.3224155,30006422.64293862,0.0,30006422.64293862
11,2050.9166666666665,12991.29999921614,14916.666666666664,147554.3588178001,1326760.8212543773,120901111.66990453,106140865.70035017,227041977.3702547,34392980.7800307,0.0,34392980.7800307
12,2051.0,13039.814616865762,14916.666666666666,154176.55854400265,1519481.5194343806,131379884.66464216,121558521.55475043,252938406.2193926,38946306.77571908,0.0,38946306.77571908
13,2051.083333333333,13088.20478577334,14916.666666666666,160185.55389624395,1719713.4618046854,141896160.04028317,137577076.94437483,279473236.984658,43651067.409436174,0.0,43651067.409436174
14,2051.1666666666665,13294.739279768628,14916.666666666668,165760.86253014853,1926914.5399673712,152572499.6487705,154153163.1973897,306725662.8461602,48500374.121350765,0.0,48500374.121350765
15,2051.25,13343.454723994317,14916.666666666666,171386.73247960676,2133717.271353975,163286593.72653276,171291836.44535038,334578430.1718831,53491545.46810746,0.0,53491545.46810746
16,2051.333333333333,13392.03842374141,14916.666666666664,182467.91488194512,2275260.796806015,174038340.17159903,189538627.93354487,363576968.1051439,58760960.967416294,0.0,58760960.967416294
17,2051.4166666666665,13440.488493463865,14916.666666666666,193523.11321999136,2417046.572606668,184827635.4207002,208890939.255544,393718574.6762442,64307967.67691934,0.0,64307967.67691934
18,2051.5,13488.803071300095,14916.666666666666,101067.30127717028,2559073.921296501,195654374.46762443,218997669.38326102,414652043.85088545,67544786.95229776,0.0,67544786.95229776
19,2051.583333333333,13698.1348469079,14916.666666666666,215622.9116892765,2702147.9288643743,206643345.64064473,240559960.55218866,447203306.1928334,73650729.78236903,0.0,73650729.78236903
20,2051.6666666666665,13746.744833434224,14916.666666666666,0.0,2845464.9863648787,217669989.55322292,240559960.55218866,458229950.1054116,74367315.06987156,0.0,74367315.06987156
21,2051.75,13795.212209029867,14916.666666666664,0.0,2989024.380743361,228734195.68188775,240559960.55218866,469294156.2340764,75085112.04176398,0.0,75085112.04176398
22,2051.833333333333,13843.535187728628,14916.666666666664,248679.46308363677,3132825.390015338,239835852.1190441,265427906.86055234,505263758.97959644,82021103.66521478,0.0,82021103.66521478
23,2051.9166666666665,14055.143914569424,14916.666666666666,259714.8863963033,3277684.4429215183,251101505.31950206,291399395.5001827,542500900.8196847,89238271.08965327,0.0,89238271.08965327
24,2052.0,14103.737888052148,14916.666666666666,270724.5762674515,3422786.465695112,262404818.84940913,318471853.12692785,580876671.976337,96731895.61020753,0.0,96731895.61020753
25,2052.083333333333,14152.180497556756,14916.666666666668,281708.57685143023,3568130.701516229,273745675.40168226,346642710.81207085,620388386.2137531,104501331.21059887,0.0,104501331.21059887
26,2052.1666666666665,14200.47003845964,14916.666666666666,29141.20410197208,3713716.385041861,285123956.34815514,349556831.22226804,634680787.5704231,105957789.73077632,0.0,105957789.73077632
27,2052.25,14248.604832151188,14916.666666666666,0.0,3859542.74253595,296539541.759739,349556831.22226804,646096372.982007,106686921.51824677,0.0,106686921.51824677
28,2052.333333333333,14462.8225660259,14916.666666666668,14689.744616346285,4006440.188699413,308121145.9150757,351025805.6839027,659146951.5989784,107788652.36447275,0.0,107788652.36447275
29,2052.4166666666665,14511.198985062829,14916.666666666666,158577.4069980229,4153579.5169580607,319740241.7951661,366883546.38370496,686623788.178871,112488784.18071656,0.0,112488784.18071656
30,2052.5,14559.413922506656,14916.666666666668,0.0,4300959.919903928,331396704.2517754,366883546.38370496,698280250.6354804,113225686.1954459,0.0,113225686.1954459
31,2052.583333333333,14607.465786943854,14916.666666666666,0.0,4448580.58217198,343090406.90332353,366883546.38370496,709973953.2870286,113963789.50678615,0.0,113963789.50678615
32,2052.6666666666665,14655.353013958984,14916.666666666666,358226.5630925471,4596440.680575109,354821222.1558084,402706202.69295967,757527424.848768,123658754.07611547,0.0,123658754.07611547
33,2052.75,14872.07491758184,14916.666666666666,369145.9280730984,4745384.388496351,366719996.883601,439620795.50026953,806340792.3838706,133632120.81754914,0.0,133632120.81754914
34,2052.833333333333,14920.174875473316,14916.666666666666,380039.8373486855,4894568.596207051,378656049.0787595,477624779.23513806,856280828.3138976,143879037.78981978,0.0,143879037.78981978
35,2052.9166666666665,14968.103721288817,14916.666666666666,0.0,5043992.448146828,390629246.129425,477624779.23513806,868254025.364563,144626157.04951867,0.0,144626157.04951867
36,2053.0,15015.859982892409,14916.666666666666,90583.3040958927,5193655.081394624,402639454.2828333,486683109.64472735,889322563.9275606,147639052.81815496,0.0,147639052.81815496
37,2053.083333333333,15234.617695652005,14916.666666666666,0.0,5344411.503206218,414819199.66363025,486683109.64472735,901502309.3083576,148392834.92721292,0.0,148392834.92721292
38,2053.1666666666665,15282.563197101885,14916.666666666666,0.0,5495407.652525061,427036102.8080509,486683109.64472735,913719212.4527782,149147815.67380714,0.0,149147815.67380714
39,2053.25,15330.329855389424,14916.666666666666,0.0,5646642.635135341,439290025.1126443,486683109.64472735,925973134.7573717,149903990.58685854,0.0,149903990.58685854
40,2053.333333333333,15377.916294402658,14916.666666666666,0.0,5798115.549940688,451580826.907473,486683109.64472735,938263936.5522003,150661355.16088527,0.0,150661355.16088527
