t,year,rocket_arrivals_tons,elevator_arrivals_tons,isru_production_tons,cumulative_city_tons,D_E_aggressive,D_M,D_total_aggressive,D_E_conservative,D_M_conservative,D_total_conservative
28,2052.3333333333335,14462.8225660259,44749.99999999999,213443.58525944775,8406856.85536608,799554639.3322891,6725485.484292863,806280124.816582,10029044.355366081,0.0,10029044.355366081
29,2052.4166666666665,14511.198985062829,44750.00000000001,237044.79594025132,8703162.850291394,829793870.7212198,6962530.280233114,836756401.0014529,10381287.850291396,0.0,10381287.850291396
30,2052.5,14559.413922506656,44750.0,237237.65569002664,8999709.919903927,860133389.1800336,7199767.9359231405,867333157.1159567,10733772.419903928,0.0,10733772.419903928
31,2052.5833333333335,14607.465786943854,44750.0,260981.44286921143,9296497.248838646,890572855.5168768,7460749.378792352,898033604.8956692,11115936.723490443,0.0,11115936.723490443
32,2052.6666666666665,14655.353013958984,44750.0,214304.26761873977,9593524.013908442,921111927.2859116,7675053.646411092,928786980.9323226,11439754.558013868,0.0,11439754.558013868
33,2052.75,14872.07491758184,44750.0,238253.86438598743,9891634.388496352,952101780.6144818,7913307.51079708,960015088.1252788,11793509.388496352,0.0,11793509.388496352
34,2052.8333333333335,14920.174875473316,44750.0,238680.69950189325,10189985.26287372,983191681.8554664,8151988.210298973,991343670.0657654,12147797.762873719,0.0,12147797.762873719
35,2052.9166666666665,14968.103721288817,44750.0,262568.7398045057,10488575.78148016,1014381275.0957471,8414556.950103479,1022795832.0458506,12531946.187629351,0.0,12531946.187629351
36,2053.0,15015.859982892409,44750.0,215605.17499205284,10787405.081394624,1045670201.3601633,8630162.125095531,1054300363.4852588,12857390.156369418,0.0,12857390.156369418
37,2053.0833333333335,15234.617695652005,44750.00000000001,239700.4108027743,11087328.169872884,1077414143.6671195,8869862.535898305,1086284006.2030177,13212953.169872886,0.0,13212953.169872886
38,2053.1666666666665,15282.563197101885,44749.99999999999,240130.2527884075,11387490.985858394,1109257812.6170914,9109992.788686713,1118367805.4057782,13569053.485858396,0.0,13569053.485858396
39,2053.25,15330.329855389424,44750.00000000001,240321.3194215577,11687892.63513534,1141200836.2163014,9350314.10810827,1150551150.3244097,13925392.635135343,0.0,13925392.635135343
40,2053.3333333333335,15377.91629440266,44750.0,240511.66517761064,11988532.216607356,1173242839.608659,9590825.77328588,1182833665.381945,14281969.716607356,0.0,14281969.716607356
41,2053.4166666666665,15425.32116634703,44750.0,240701.28466538808,12289408.82243909,1205383445.134661,9831527.05795127,1215214972.1926122,14638783.822439091,0.0,14638783.822439091
42,2053.5,15646.391951239006,44750.0,241585.567804956,12591390.782195283,1237983877.893238,10073112.625756226,1248056990.5189943,14996703.282195287,0.0,14996703.282195287
43,2053.5833333333335,15693.958273793049,44750.0,241775.8330951722,12893610.57356425,1270683248.6027277,10314888.458851399,1280998137.061579,15354860.573564252,0.0,15354860.573564252
44,2053.6666666666665,15741.337072506318,44750.0,241965.3482900253,13196067.258926785,1303481167.2135408,10556853.807141425,1314038021.0206823,15713254.758926783,0.0,15713254.758926783
45,2053.75,15788.527099249974,44750.0,242154.10839699983,13498759.894423032,1336377241.0799809,10799007.915538425,1347176248.9955192,16071884.894423032,0.0,16071884.894423032
46,2053.8333333333335,15835.527134621603,44750.0,242342.10853848635,13801687.530096142,1369371075.0199938,11041350.02407691,1380412425.0440707,16430750.03009614,0.0,16430750.03009614
47,2053.9166666666665,16058.806387805693,44750.00000000001,243235.2255512227,14105731.56203517,1402829329.8066297,11284585.249628134,1414113915.0562577,16790731.56203517,0.0,16790731.56203517
48,2054.0,16105.94085831039,44750.0,243423.76343324155,14410011.266326722,1436385624.2919152,11528009.013061376,1447913633.3049765,17150948.76632672,0.0,17150948.76632672
49,2054.0833333333335,16152.879701748783,44750.0,243611.51880699513,14714525.664835464,1470039551.5715528,11771620.531868372,1481811172.1034212,17511400.664835464,0.0,17511400.664835464
